Date, Message
17/01/2021 14:27:02,Start new batch
17/01/2021 14:27:04,Pulled data from Google Trends
17/01/2021 14:27:04,Saved raw data to S3 (bucket1)
17/01/2021 14:27:04,Processed and saved data to S3 (googletrends1 and googletrends2)
17/01/2021 14:27:19,Start new batch
17/01/2021 14:27:21,Pulled data from Google Trends
17/01/2021 14:27:21,Saved raw data to S3 (bucket1)
17/01/2021 14:27:21,Processed and saved data to S3 (googletrends1 and googletrends2)
17/01/2021 14:32:29,Successfully processed batch
17/01/2021 14:32:57,Failed to process batch: division by zero
17/01/2021 15:18:08,Successfully processed batch
17/01/2021 15:29:50,Successfully processed batch
